iter	RMSE
281	5.538472394
282	5.530384038
283	5.520595034
284	5.509736666
285	5.49695337
286	5.486994874
287	5.475508614
288	5.46547277
289	5.456480076
290	5.451770001
291	5.440350446
292	5.431500275
293	5.422027329
294	5.413682001
295	5.404708672
296	5.398976101
297	5.39806845
298	5.393398609
299	5.383736374
300	5.374116408
301	5.373129726
302	5.361245369
303	5.348832507
304	5.341328682
305	5.33207145
306	5.321008912
307	5.317159483
308	5.309053422
309	5.302129567
310	5.290041242
311	5.278360909
312	5.268762517
313	5.254600066
314	5.246492392
315	5.235568162
316	5.230814187
317	5.219547515
318	5.209978006
319	5.199800009
320	5.190294317
321	5.180695805
322	5.173656624
323	5.165288558
324	5.155013004
325	5.143568034
326	5.137093532
327	5.128059274
328	5.116416761
329	5.104314803
330	5.095333086
331	5.087256387
332	5.086480325
333	5.079686528
334	5.071504076
335	5.062462571
336	5.051429087
337	5.046590437
338	5.040334266
339	5.034587468
340	5.024836904
341	5.019670895
342	5.011521974
343	5.002151949
344	5.000279336
345	4.993442293
346	4.986223833
347	4.978862096
348	4.97187376
349	4.960503526
350	4.954562892
351	4.946191236
352	4.938301374
353	4.937646846
354	4.926725879
355	4.914579733
356	4.905823951
357	4.892389981
358	4.883808898
359	4.879689033
360	4.871204712
361	4.862236159
362	4.853153463
363	4.845414401
364	4.832240026
365	4.823747728
366	4.815733571
367	4.809023325
368	4.80449333
369	4.791574639
370	4.786239472
371	4.776540988
372	4.768300078
373	4.761780867
374	4.754332466
375	4.745357866
376	4.738180837
377	4.733832336
378	4.722949941
379	4.716425409
380	4.706483055
381	4.696296864
382	4.686468593
383	4.675187471
384	4.663322169
385	4.657660533
386	4.651796062
387	4.646318859
388	4.63523224
389	4.631340258
390	4.621716797
391	4.611593165
392	4.605129481
393	4.598472327
394	4.590645025
395	4.58191249
396	4.572904893
397	4.562687177
398	4.553001692
399	4.543813491
400	4.541094777
401	4.53298088
402	4.529875219
403	4.519302594
404	4.510376408
405	4.502519191
406	4.491290439
407	4.480665838
408	4.473479859
409	4.467163821
410	4.456198316
411	4.451004844
412	4.443110882
413	4.434111795
414	4.424943378
415	4.419204434
416	4.412353159
417	4.404008062
418	4.39520796
419	4.392400094
420	4.382756409
421	4.376230355
422	4.371909244
423	4.362680519
424	4.355926719
425	4.34985537
426	4.338578218
427	4.33403984
428	4.326078614
429	4.322395305
430	4.314487886
431	4.305827382
432	4.29554973
433	4.290339676
434	4.282946594
435	4.274109439
436	4.265231008
437	4.257521139
438	4.256486777
439	4.246226353
440	4.23784495
441	4.23176207
442	4.229892385
443	4.221574378
444	4.212567132
445	4.206838961
446	4.201592981
447	4.194337032
448	4.188870756
449	4.182365999
450	4.177867318
451	4.175084889
452	4.168473912
453	4.159678085
454	4.154043038
455	4.144325941
456	4.134590143
457	4.129363641
458	4.128566647
459	4.122700299
460	4.118471519
461	4.110122397
462	4.103086026
463	4.097319009
464	4.096503976
465	4.096083325
466	4.087981112
467	4.081737001
468	4.070054777
469	4.061723875
470	4.053893251
471	4.043034749
472	4.033801791
473	4.025747572
474	4.024701704
475	4.018051537
476	4.011219801
477	4.004034082
478	3.992890797
479	3.98486156
480	3.97977025
481	3.97141934
482	3.964172176
483	3.956621352
484	3.949923031
485	3.944718081
486	3.938801343
487	3.934712876
488	3.929910388
489	3.917790427
490	3.912053351
491	3.906134165
492	3.901035115
493	3.893061486
494	3.888814057
495	3.88235599
496	3.878089782
497	3.867193402
498	3.861269505
499	3.857343782
500	3.847491886
501	3.840520277
502	3.831049057
503	3.830537494
504	3.825990717
505	3.820978387
506	3.814296743
507	3.807029531
508	3.805803157
509	3.805199828
510	3.804621456
511	3.799267052
512	3.793886134
513	3.787165295
514	3.781245844
515	3.775081789
516	3.767254499
517	3.762334074
518	3.753632749
519	3.748297597
520	3.742395672
521	3.736777465
522	3.730957578
523	3.726752595
524	3.720532376
525	3.712739907
526	3.705950485
527	3.698155608
528	3.690400888
529	3.685452175
530	3.679713568
531	3.673396473
532	3.668206626
533	3.659706104
534	3.65153714
535	3.650953591
536	3.646682233
537	3.641869668
538	3.632456515
539	3.627077519
540	3.621167689
541	3.614451855
542	3.607719691
543	3.602779198
544	3.592555545
545	3.588265092
546	3.580564626
547	3.571072414
548	3.56479136
549	3.556656693
550	3.548959576
551	3.54095232
552	3.536374963
553	3.530972686
554	3.521728361
555	3.515384763
556	3.508632011
557	3.502120401
558	3.49431724
559	3.485830569
560	3.481052525
561	3.477686972
562	3.475277955
563	3.468473775
564	3.464641046
565	3.459984982
566	3.451924599
567	3.447093664
568	3.443034696
569	3.437978414
570	3.432084212
571	3.425510633
572	3.419690364
573	3.413009884
574	3.404594463
575	3.399757192
576	3.389930096
577	3.384944088
578	3.377706899
579	3.37008263
580	3.366393743
581	3.363124646
582	3.356637894
583	3.351119353
584	3.349746026
585	3.34593804
586	3.342816115
587	3.33485111
588	3.327666605
589	3.321970557
590	3.316497808
591	3.312953776
592	3.308027847
593	3.303179367
594	3.299755801
595	3.291002396
596	3.281941036
597	3.279827965
598	3.273714952
599	3.273245191
600	3.266202796
601	3.261591914
602	3.259500995
603	3.254580481
604	3.247277416
605	3.24024659
606	3.234147272
607	3.22716457
608	3.223593523
609	3.217709298
610	3.212546116
611	3.208851598
612	3.203273769
613	3.199025594
614	3.193795636
615	3.185572547
616	3.177873451
617	3.173166976
618	3.168424898
619	3.163335681
620	3.157106509
621	3.148185782
622	3.142949728
623	3.138110288
624	3.134092505
625	3.128516902
626	3.123336067
627	3.116890361
628	3.115985261
629	3.111854236
630	3.109327516
631	3.105342707
632	3.103101818
633	3.097394155
634	3.092117025
635	3.086131179
636	3.082532515
637	3.079006469
638	3.073120626
639	3.063233772
640	3.061062048
641	3.055949222
642	3.05005299
643	3.045538071
644	3.041641659
645	3.037237216
646	3.032219622
647	3.029384544
648	3.025797433
649	3.024611501
650	3.016654376
651	3.013017275
652	3.006912767
653	3.001793566
654	2.9944017
655	2.987373098
656	2.98068699
657	2.974088605
658	2.96962606
659	2.967800459
660	2.967348878
661	2.958117188
662	2.951233738
663	2.945550467
664	2.939730005
665	2.932609124
666	2.928314825
667	2.923247909
668	2.916017751
669	2.913240246
670	2.910360822
671	2.90523282
672	2.90240258
673	2.895913861
674	2.889068554
675	2.883195173
676	2.878504822
677	2.873604611
678	2.867668267
679	2.864635408
680	2.857980094
681	2.853836393
682	2.848264852
683	2.8456543
684	2.842635654
685	2.839137535
686	2.834349067
687	2.831045109
688	2.825623273
689	2.819620914
690	2.814042258
691	2.810516644
692	2.803749211
693	2.796565083
694	2.789866254
695	2.784990367
696	2.778197992
697	2.777812126
698	2.774260251
699	2.771067222
700	2.767010155
701	2.761935286
702	2.759021019
703	2.753805099
704	2.749405927
705	2.743704051
706	2.741192111
707	2.73631093
708	2.731954478
709	2.726517663
710	2.721780656
711	2.718591462
712	2.713034143
713	2.709485819
714	2.703651877
715	2.699488555
716	2.693013642
717	2.691129156
718	2.685349616
719	2.679981282
720	2.676983044
721	2.673324789
722	2.669470401
723	2.668326508
724	2.661981204
725	2.655392084
726	2.651877742
727	2.644912215
728	2.641252617
729	2.638399184
730	2.63484577
731	2.629228993
732	2.623469246
733	2.622910546
734	2.616294141
735	2.612566785
736	2.611090138
737	2.603679133
738	2.597633102
739	2.59309071
740	2.586858648
741	2.581122844
742	2.578353664
743	2.573719902
744	2.572774775
745	2.569581511
746	2.56307906
747	2.55669714
748	2.548750184
749	2.545540243
750	2.541548332
751	2.537071836
752	2.530924349
753	2.528864769
754	2.526051883
755	2.520036175
756	2.515401519
757	2.514044386
758	2.510429368
759	2.505618298
760	2.504630846
761	2.502610622
762	2.497480525
763	2.495743775
764	2.491215419
765	2.483932119
766	2.476215676
767	2.472962093
768	2.469006925
769	2.464551128
770	2.459104412
771	2.456584353
772	2.456102853
773	2.45346842
774	2.4490916
775	2.445818304
776	2.440618259
777	2.436129809
778	2.435726025
779	2.432161231
780	2.427306096
781	2.422976938
782	2.418056244
783	2.415268534
784	2.413115272
785	2.410319403
786	2.406301008
787	2.400965663
788	2.39671801
789	2.392065506
790	2.388421469
791	2.38480317
792	2.379912219
793	2.3735103
794	2.367842871
795	2.362566074
796	2.359385727
797	2.354531814
798	2.351855993
799	2.344706613
800	2.339842174
801	2.335381343
802	2.331746902
803	2.33043673
804	2.323722121
805	2.322238115
806	2.32002491
807	2.317813538
808	2.313379077
809	2.311790359
810	2.311046648
811	2.307571269
812	2.303316104
813	2.299808603
814	2.297750308
815	2.292148882
816	2.290877037
817	2.290647644
818	2.290467909
819	2.286549684
820	2.282961575
821	2.280400791
822	2.276359633
823	2.271962442
824	2.26908009
825	2.265685499
826	2.262826746
827	2.259683574
828	2.254553269
829	2.250598993
830	2.249231338
831	2.24494066
832	2.24104971
833	2.235941761
834	2.23491087
835	2.230822316
836	2.22992514
837	2.226277057
838	2.222995526
839	2.222724523
840	2.218967385
841	2.217259758
842	2.212145473
843	2.211708132
844	2.208171852
845	2.208003201
846	2.202341009
847	2.200160581
848	2.196661452
849	2.192378541
850	2.191205306
851	2.18795161
852	2.183715379
853	2.17984457
854	2.177785046
855	2.173278825
856	2.169478484
857	2.167839034
858	2.165685449
859	2.161820401
860	2.16164712
861	2.161441049
862	2.159096031
863	2.154934175
864	2.151587783
865	2.147414772
866	2.142987127
867	2.138601978
868	2.137561683
869	2.13396453
870	2.128496901
871	2.124593805
872	2.12209212
873	2.119776831
874	2.115749376
875	2.111952797
876	2.10938314
877	2.103350448
878	2.098294078
879	2.098080645
880	2.097111748
881	2.093127665
882	2.092377588
883	2.09162715
884	2.087595645
885	2.08541896
886	2.081277504
887	2.077147657
888	2.076213236
889	2.07152518
890	2.067758042
891	2.063716134
892	2.060874176
893	2.057058825
894	2.05467785
895	2.054455452
896	2.050708166
897	2.04606866
898	2.041692183
899	2.036819143
900	2.031153676
901	2.027413889
902	2.023853638
903	2.021446488
904	2.017556848
905	2.012424881
906	2.011066516
907	2.010868876
908	2.006559627
909	2.003699561
910	1.999636531
911	1.997732031
912	1.99477511
913	1.994546584
914	1.992701318
915	1.992533833
916	1.988305597
917	1.98340989
918	1.982746247
919	1.980531662
920	1.976641179
921	1.973283112
922	1.973113939
923	1.969727601
924	1.966354234
925	1.961923656
926	1.958354642
927	1.953648145
928	1.949075123
929	1.948146928
930	1.944903559
931	1.941863581
932	1.941560145
933	1.938610819
934	1.936052909
935	1.932366169
936	1.927773401
937	1.92636638
938	1.92151147
939	1.921366778
940	1.919227476
941	1.91753573
942	1.914385709
943	1.914211657
944	1.910644175
945	1.907238168
946	1.903642383
947	1.903508829
948	1.900135415
949	1.896469227
950	1.89630008
951	1.891419127
952	1.891235259
953	1.889069561
954	1.886061147
955	1.88286491
956	1.879152885
957	1.87672842
958	1.873293474
959	1.869478801
960	1.869348568
961	1.868620291
962	1.865749941
963	1.862866074
964	1.857836805
965	1.853998211
966	1.849250681
967	1.849119894
968	1.845736558
969	1.841792785
970	1.837978423
971	1.835173527
972	1.833433443
973	1.828925268
974	1.82820847
975	1.822790391
976	1.82251129
977	1.818312497
978	1.815626768
979	1.815495658
980	1.811591087
981	1.808006991
982	1.803560278
983	1.801014679
984	1.797608854
985	1.792895556
986	1.790768249
987	1.7871474
988	1.784119909
989	1.78083306
990	1.77527558
991	1.77304945
992	1.770218952
993	1.766679959
994	1.762097604
995	1.75867768
996	1.758120252
997	1.754546929
998	1.751263136
999	1.747758937
