data,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,endereco_cruzamento,numero_cruzamento,referencia_cruzamento,bairro_cruzamento,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,,,,,,,
2017-03-02,16:20:00,SEM VÍTIMA,CANCELADA,BOA VIAGEM,RUA PADRE CARAPUCEIRO,,,NO SEMÁFORO 321,RUA PADRE CARAPUCEIRO,0,NO SEMÁFORO 321,BOA VIAGEM,COLISÃO COM CICLISTA,2,,,1,,,,,,0,,,,,,,,
2017-03-02,16:26:00,SEM VÍTIMA,CANCELADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,1967,,E/F RECIFE HARLEY DAVIDSON S/T RECIFE,AV MARECHAL MASCARENHAS DE MORAES,1967,E/F RECIFE HARLEY DAVIDSON S/T RECIFE,IMBIRIBEIRA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-02,17:06:00,SEM VÍTIMA,FINALIZADA,CASA FORTE,AV DEZESSETE DE AGOSTO,126,,EM FRENTE A BIG BEN,AV DEZESSETE DE AGOSTO,126,EM FRENTE A BIG BEN,CASA FORTE,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-02,17:27:00,SEM VÍTIMA,FINALIZADA,SÃO JOSÉ,RUA IMPERADOR PEDRO SEGUNDO,,,AO LADO DO PALACIO DA JUSTIÇA,RUA IMPERADOR PEDRO SEGUNDO,0,AO LADO DO PALACIO DA JUSTIÇA,SÃO JOSÉ,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-02,17:59:00,SEM VÍTIMA,CANCELADA,ESTÂNCIA,AV RECIFE,,,E/F AO IMPERIAL EQUIPAMENTOS // PROX AO MAKRO // SENTIDO BR-101,AV RECIFE,0,E/F AO IMPERIAL EQUIPAMENTOS // PROX AO MAKRO // SENTIDO BR-101,ESTÂNCIA,COLISÃO,1,,,,,,1,,,0,,,,,,,,
2017-03-02,18:15:00,COM VÍTIMA,FINALIZADA,ARRUDA,AV BEBERIBE,,,ENF AO CAMPO DO ARRUDA,AV BEBERIBE,0,ENF AO CAMPO DO ARRUDA,ARRUDA,COLISÃO,,3,,,,,,,,3,,,,,,,,
2017-03-02,18:21:00,SEM VÍTIMA,FINALIZADA,IPSEP,AV DA COSTA E SILVA,124,,CRUZAMENTO COM A AV RAIMUNDO DINIZ // E/F A ARUBA LANCHES,AV DA COSTA E SILVA,124,CRUZAMENTO COM A AV RAIMUNDO DINIZ // E/F A ARUBA LANCHES,IPSEP,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-02,18:55:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,,PROX AO CARREFUOR APOIS O SEMAFORO DO CRUZAMENTO ANTONIO FALCAO,AV ENGENHEIRO DOMINGOS FERREIRA,0,PROX AO CARREFUOR APOIS O SEMAFORO DO CRUZAMENTO ANTONIO FALCAO,BOA VIAGEM,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-03-02,19:09:00,SEM VÍTIMA,FINALIZADA,CURADO,AV PROFESSOR LUIZ FREIRE,500,,ENFR IFPE ANTIGA ESCOLA TECNICA E PROX AO ITEP,AV PROFESSOR LUIZ FREIRE,500,ENFR IFPE ANTIGA ESCOLA TECNICA E PROX AO ITEP,CURADO,COLISÃO,3,,,,,,,,,0,,,,,,,,
2017-03-02,20:26:00,SEM VÍTIMA,FINALIZADA,CASA FORTE,AV DEZESSETE DE AGOSTO,,,E/F A PRAÇA DE CASA FORTE // SEMAFORO 372,AV DEZESSETE DE AGOSTO,0,E/F A PRAÇA DE CASA FORTE // SEMAFORO 372,CASA FORTE,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-03-02,20:45:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV CONSELHEIRO AGUIAR,,,SEMAFORO 318,AV CONSELHEIRO AGUIAR,0,SEMAFORO 318,BOA VIAGEM,ATROPELAMENTO,,1,,,1,,,,,1,,,,,,,,
2017-03-02,22:45:00,COM VÍTIMA,FINALIZADA,MADALENA,AV CAXANGA,,,SENTIDO CIDADE NA PRIMEIRA PARADA DO BRT,AV CAXANGA,0,SENTIDO CIDADE NA PRIMEIRA PARADA DO BRT,MADALENA,COLISÃO,2,1,,,,,,,,3,,,,,,,,
2017-03-03,06:52:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AVENIDA CELSO FURTADO (VIA MANGUE),,,CALDINHO DO NENÊ,AVENIDA CELSO FURTADO (VIA MANGUE),0,CALDINHO DO NENÊ,BOA VIAGEM,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-03,07:25:00,SEM VÍTIMA,FINALIZADA,JARDIM SÃO PAULO,AV RECIFE,512,,HA 30 METROS DA PADARIA RECIPÃO,SENT/BR 101.,AV RECIFE,512,HA 30 METROS DA PADARIA RECIPÃO,SENT/BR 101.,JARDIM SÃO PAULO,COLISÃO,3,,,,,,,,,0,,,,,,
2017-03-03,07:29:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,RUA MAURICIO DE NASSAU,,,POR TRÁS DO PARQUE DE ESPOSIÇÕES,RUA MAURICIO DE NASSAU,0,POR TRÁS DO PARQUE DE ESPOSIÇÕES,CORDEIRO,COLISÃO,,,,,,,,,,0,,,,,,,,
2017-03-03,07:31:00,SEM VÍTIMA,FINALIZADA,JOANA BEZERRA,AV DES GUERRA BARRETO,,,,EM FRENTE AO FORUN RODOLFO AURELIANO,AV DES GUERRA BARRETO,0,,EM FRENTE AO FORUN RODOLFO AURELIANO,JOANA BEZERRA,COLISÃO,2,,,,,,,,,0,,,,,,
2017-03-03,07:35:00,SEM VÍTIMA,FINALIZADA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,,EM FRENTE AO RESTAURANTE SPETTOS / SENT RESTAURAÇAO/ SEM 068,AV GOVERNADOR AGAMENON MAGALHAES,0,EM FRENTE AO RESTAURANTE SPETTOS / SENT RESTAURAÇAO/ SEM 068,DERBY,ENGAVETAMENTO,3,,,,,,,,,0,,,,,,,,
2017-03-03,07:54:00,SEM VÍTIMA,FINALIZADA,SÃO JOSÉ,RUA IMPERIAL,1600,,E/F A JUCEPE. SEMÁFORO Nº 087,RUA IMPERIAL,1600,E/F A JUCEPE. SEMÁFORO Nº 087,SÃO JOSÉ,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-03,08:03:00,SEM VÍTIMA,FINALIZADA,IBURA,AV DOIS RIOS,,,SEMAFORO 351,EM FRENTE AO POSTO DE GASOLINA BR,AV DOIS RIOS,0,SEMAFORO 351,EM FRENTE AO POSTO DE GASOLINA BR,IBURA,COLISÃO,1,,,,,,1,,,0,,,,,,
2017-03-03,08:10:00,SEM VÍTIMA,FINALIZADA,MADALENA,RUA REAL DA TORRE,907,,E/F A WIZARD,RUA REAL DA TORRE,907,E/F A WIZARD,MADALENA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-03,08:27:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,AV CAXANGA,1444,,CRUZ/COM GENERAL SAN MARTIN,SEMAFORO 080,AV CAXANGA,1444,CRUZ/COM GENERAL SAN MARTIN,SEMAFORO 080,CORDEIRO,COLISÃO,2,,,,,,,,,0,,,,,,
2017-03-03,08:37:00,COM VÍTIMA,FINALIZADA,SÃO JOSÉ,RUA DO PEIXOTO,,,SEMAFORO 181,CRUZ/COM A AV DANTAS BARRETO,RUA DO PEIXOTO,0,SEMAFORO 181,CRUZ/COM A AV DANTAS BARRETO,SÃO JOSÉ,COLISÃO,,1,,,,1,,,,1,,,,,,
2017-03-03,09:05:00,SEM VÍTIMA,CANCELADA,MADALENA,RUA ANTONIO VIEIRA,154,,RESIDENCIA. SENTIDO REAL DA TORRE.,RUA ANTONIO VIEIRA,154,RESIDENCIA. SENTIDO REAL DA TORRE.,MADALENA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-03,09:09:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,4561,,EM FRENTE ALBUQUERQUE PNEUS,AV MARECHAL MASCARENHAS DE MORAES,4561,EM FRENTE ALBUQUERQUE PNEUS,IMBIRIBEIRA,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-03-03,09:46:00,SEM VÍTIMA,FINALIZADA,MANGABEIRA,AV NORTE,,,EM FRENTE A DISNOVE,SENT/CIDADE,AV NORTE,0,EM FRENTE A DISNOVE,SENT/CIDADE,MANGABEIRA,COLISÃO,2,,,,,,,,,0,,,,,,
2017-03-03,09:32:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV DES JOSE NEVES,,,AO LADO DO SUPERMERCADO TREVO,AV DES JOSE NEVES,0,AO LADO DO SUPERMERCADO TREVO,BOA VIAGEM,COLISÃO,1,1,,,,,,,,1,,,,,,,,
2017-03-03,09:52:00,SEM VÍTIMA,FINALIZADA,PINA,AV ANTONIO DE GOES,449,,EM FRENTE AO EMPRESARIAL NEWTON MELO,AV ANTONIO DE GOES,449,EM FRENTE AO EMPRESARIAL NEWTON MELO,PINA,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-03-03,10:05:00,SEM VÍTIMA,FINALIZADA,CASA AMARELA,AV NORTE,30,,EM FRENTE BECK NORTE,AV NORTE,30,EM FRENTE BECK NORTE,CASA AMARELA,COLISÃO,1,1,,,,,,,,0,,,,,,,,
2017-03-03,10:10:00,SEM VÍTIMA,FINALIZADA,MADALENA,EST DOS REMEDIOS,2416,,EM FRENTE DA POLICLINICA LESSA DE ANDRADE,EST DOS REMEDIOS,2416,EM FRENTE DA POLICLINICA LESSA DE ANDRADE,MADALENA,COLISÃO,1,,,,,,1,,,0,,,,,,,,
2017-03-03,10:38:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA DR GILSON MACHADO GUIMARAES,,,POR TRAS DO EXTRA AREA DE DESCARREGAR,RUA DR GILSON MACHADO GUIMARAES,0,POR TRAS DO EXTRA AREA DE DESCARREGAR,BOA VIAGEM,COLISÃO,1,,,,,,1,,,0,,,,,,,,
2017-03-03,11:39:00,SEM VÍTIMA,EM ATENDIMENTO,CASA AMARELA,AV NORTE,,AV PROFESSOR JOSE DOS ANJOS,SENTIDO CIDADE. SEMÁFORO Nº 364,AV NORTE,0,SENTIDO CIDADE. SEMÁFORO Nº 364,CASA AMARELA,COLISÃO,1,,,,,,1,,,0,,,,,,,,
2017-03-03,11:59:00,SEM VÍTIMA,CANCELADA,PARNAMIRIM,RUA JOAO TUDE DE MELO,91,,EM FRENTE AO POSTO SHELL,RUA JOAO TUDE DE MELO,91,EM FRENTE AO POSTO SHELL,PARNAMIRIM,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-03,12:07:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA BALTAZAR PASSOS,500,,EM FRENTE AO EDIFICIO MARJOLET,RUA BALTAZAR PASSOS,500,EM FRENTE AO EDIFICIO MARJOLET,BOA VIAGEM,COLISÃO,1,1,,,,,,,,3,,,,,,,,
2017-03-03,12:30:00,SEM VÍTIMA,FINALIZADA,JAQUEIRA,RUA DEPUTADO PEDRO PIRES FERREIRA,405,,EM FRENTE A GALERIA CRISTALL CENTER, E AO PARQUE,RUA DEPUTADO PEDRO PIRES FERREIRA,405,EM FRENTE A GALERIA CRISTALL CENTER, E AO PARQUE,JAQUEIRA,COLISÃO,2,,,,,,,,,0,,,,,,
2017-03-03,15:37:00,COM VÍTIMA,EM ATENDIMENTO,BOA VIAGEM,AV MARECHAL JUAREZ TAVORA,,,SEMANFORO 478,AV MARECHAL JUAREZ TAVORA,0,SEMANFORO 478,BOA VIAGEM,COLISÃO,1,1,,,,,,,,1,,,,,,,,
2017-03-03,15:58:00,SEM VÍTIMA,CANCELADA,ILHA DO RETIRO,RUA SPORT CLUBE DO RECIFE,,,EM FRENTE AO GINASIO, SENTIDO CIDADE,RUA SPORT CLUBE DO RECIFE,0,EM FRENTE AO GINASIO, SENTIDO CIDADE,ILHA DO RETIRO,COLISÃO,2,,,,,,,,,0,,,,,,
2017-03-03,15:59:00,SEM VÍTIMA,FINALIZADA,JORDÃO,AV DOIS RIOS,1051,,PROX DA FARMACIA BIG BEN,AV DOIS RIOS,1051,PROX DA FARMACIA BIG BEN,JORDÃO,COLISÃO,1,,,,,,1,,,0,,,,,,,,
2017-03-03,16:07:00,SEM VÍTIMA,FINALIZADA,GRAÇAS,RUA BRUNO MAIA,505,,PX AO HOSPITAL DO SERVIDORES,RUA BRUNO MAIA,505,PX AO HOSPITAL DO SERVIDORES,GRAÇAS,COLISÃO,1,,,,,,,1,,0,,,,,,,,
2017-03-03,16:37:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,RUA JAMAICA,197,,COM A RUA ITAJAI PROX DA CENTER MAIS SAUDE E DA IGREJA PRESBITERIANA,RUA JAMAICA,197,COM A RUA ITAJAI PROX DA CENTER MAIS SAUDE E DA IGREJA PRESBITERIANA,IMBIRIBEIRA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-03,17:10:00,SEM VÍTIMA,CANCELADA,BOA VISTA,RUA JOAQUIM FELIPE,243,,E/F DA FACULADADE IBGM,RUA JOAQUIM FELIPE,243,E/F DA FACULADADE IBGM,BOA VISTA,COLISÃO,1,,,,,,1,,,0,,,,,,,,
2017-03-03,17:11:00,COM VÍTIMA,FINALIZADA,DERBY,RUA AMAURI DE MEDEIROS,,,CRUZAMENTO COM A RUA BARÃO DE GOIANA,RUA AMAURI DE MEDEIROS,0,CRUZAMENTO COM A RUA BARÃO DE GOIANA,DERBY,COLISÃO,1,1,,,,,,,,1,,,,,,,,
2017-03-03,17:15:00,SEM VÍTIMA,FINALIZADA,AREIAS,RUA AURORA CACOTE,570,,E/F A PADARIA REI DO BOLO,RUA AURORA CACOTE,570,E/F A PADARIA REI DO BOLO,AREIAS,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-03-03,17:17:00,SEM VÍTIMA,CANCELADA,CAXANGÁ,RUA RIBEIRO PESSOA,,,NA RUA DA UPA,RUA RIBEIRO PESSOA,0,NA RUA DA UPA,CAXANGÁ,COLISÃO,1,1,,,,,,,,0,,,,,,,,
2017-03-03,18:18:00,SEM VÍTIMA,CANCELADA,ÁGUA FRIA,RUA SAO SEBASTIAO,,,NA ENTRADA DE AGUA FRIA PROX AO TREVO NA DIVISA DO CORREGO DO DEODATO,RUA SAO SEBASTIAO,0,NA ENTRADA DE AGUA FRIA PROX AO TREVO NA DIVISA DO CORREGO DO DEODATO,ÁGUA FRIA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-03,18:42:00,SEM VÍTIMA,FINALIZADA,ÁGUA FRIA,RUA SAO BENTO,214,,E/F A SARAIVA MOTO,RUA SAO BENTO,214,E/F A SARAIVA MOTO,ÁGUA FRIA,COLISÃO,,1,,,,1,,,,0,,,,,,,,
2017-03-03,18:49:00,SEM VÍTIMA,FINALIZADA,TORRE,RUA AMELIA,,,NA DECIDA DA PONTE DA TORRE AO LADO DO POSTO SHELL,RUA AMELIA,0,NA DECIDA DA PONTE DA TORRE AO LADO DO POSTO SHELL,TORRE,COLISÃO,1,,,,,,1,,,0,,,,,,,,
2017-03-03,19:28:00,COM VÍTIMA,FINALIZADA,IPSEP,RUA JEAN EMILE FAVRE,1438,,CRUZAMENTO COM A RUA ANIZIO GALVÃO // E/F A DELEGACIA DO IPSEP // PROX AO CORREIOS //,RUA JEAN EMILE FAVRE,1438,CRUZAMENTO COM A RUA ANIZIO GALVÃO // E/F A DELEGACIA DO IPSEP // PROX AO CORREIOS //,IPSEP,COLISÃO,1,1,,,,,,,,1,,,,,,,,
2017-03-03,19:43:00,SEM VÍTIMA,CANCELADA,VÁRZEA,AV AFONSO OLINDENSE,534,,PROX AO ANTIGO COLISEU E LOMBADA ELETRONICA,AV AFONSO OLINDENSE,534,PROX AO ANTIGO COLISEU E LOMBADA ELETRONICA,VÁRZEA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-03,19:45:00,SEM VÍTIMA,CANCELADA,ESPINHEIRO,AV JOAO DE BARROS,,,POR BAIXO DO VIADUTO,AV JOAO DE BARROS,0,POR BAIXO DO VIADUTO,ESPINHEIRO,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-03-03,19:55:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,,EM FRENTE A FARMÁCIA INDEPENDENTE,AV ENGENHEIRO DOMINGOS FERREIRA,0,EM FRENTE A FARMÁCIA INDEPENDENTE,BOA VIAGEM,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-03,20:14:00,COM VÍTIMA,FINALIZADA,CAXANGÁ,AV CAXANGA,,,PROX AO BOI NA BRASA SENTIDO CIDADE,AV CAXANGA,0,PROX AO BOI NA BRASA SENTIDO CIDADE,CAXANGÁ,COLISÃO,1,,1,,,,,,,1,,,,,,,,
2017-03-03,23:41:00,SEM VÍTIMA,FINALIZADA,AFOGADOS,RUA SAO MIGUEL,,,E/F AO COLÉGIO PROVIDENCIAL PAN AMERICANO,RUA SAO MIGUEL,0,E/F AO COLÉGIO PROVIDENCIAL PAN AMERICANO,AFOGADOS,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-03-04,00:29:00,SEM VÍTIMA,CANCELADA,ROSARINHO,RUA DR JOSE MARIA,,,CRUZAMENTO COM A RUA SANTOS DUMONT, SEMAFORO 098,RUA DR JOSE MARIA,0,CRUZAMENTO COM A RUA SANTOS DUMONT, SEMAFORO 098,ROSARINHO,COLISÃO,2,,,,,,,,,0,,,,,,
2017-03-04,01:30:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA ERNESTO DE PAULA SANTOS,,,EM FRENTE AO POSTO SETA, NA DESCIDA DO VIADUTO TANCREDO NEVES,RUA ERNESTO DE PAULA SANTOS,0,EM FRENTE AO POSTO SETA, NA DESCIDA DO VIADUTO TANCREDO NEVES,BOA VIAGEM,COLISÃO,2,,,,,,,,,0,,,,,,
2017-03-04,02:18:00,COM VÍTIMA,CANCELADA,TAMARINEIRA,AV PROFESSOR JOSE DOS ANJOS,,,CRUZAMENTRO COM A ESTRADA VELHA DE AGUA FRIA PROX DO DNOCS,AV PROFESSOR JOSE DOS ANJOS,0,CRUZAMENTRO COM A ESTRADA VELHA DE AGUA FRIA PROX DO DNOCS,TAMARINEIRA,COLISÃO,1,1,,,,,,,,1,,,,,,,,
2017-03-04,05:34:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA ERNESTO DE PAULA SANTOS,,,PROX DO POSTO DO POSTO SHELL, PROX DA LIVRARIA MODELO,RUA ERNESTO DE PAULA SANTOS,0,PROX DO POSTO DO POSTO SHELL, PROX DA LIVRARIA MODELO,BOA VIAGEM,COLISÃO,2,,,,,,,,,0,,,,,,
2017-03-04,09:44:00,SEM VÍTIMA,CANCELADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,2200,,EM FRENTE AO POSTO PETROBRAS,AV ENGENHEIRO DOMINGOS FERREIRA,2200,EM FRENTE AO POSTO PETROBRAS,BOA VIAGEM,COLISÃO,1,,,,,,1,,,0,,,,,,,,
2017-03-06,16:10:00,SEM VÍTIMA,CANCELADA,BEBERIBE,RUA URIEL DE HOLANDA,,,EM FRENTE AO COLEGIO PADRE MERCIO,SEMAFORO 641,RUA URIEL DE HOLANDA,0,EM FRENTE AO COLEGIO PADRE MERCIO,SEMAFORO 641,BEBERIBE,COLISÃO,1,,,,,,1,,,0,,,,,,
2017-03-04,11:52:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV DES JOSE NEVES,,,PROX AO MARTELINHO DE OURO EM BAIXO DO SEMAFORO 580,AV DES JOSE NEVES,0,PROX AO MARTELINHO DE OURO EM BAIXO DO SEMAFORO 580,BOA VIAGEM,COLISÃO,1,,,,,,1,,,0,,,,,,,,
2017-03-04,12:08:00,SEM VÍTIMA,CANCELADA,BOA VISTA,AV JOAO DE BARROS,,,PROX. DO BOMBEIRO E POSTO DE GASOLINA TOTAL,AV JOAO DE BARROS,0,PROX. DO BOMBEIRO E POSTO DE GASOLINA TOTAL,BOA VISTA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-04,18:44:00,SEM VÍTIMA,CANCELADA,TORRE,RUA JOSE BONIFACIO,,,CRUZAMENTO COM A RUA CONDE DE IRAJÁ // E/F A DOBRADINHA DO GORDO,RUA JOSE BONIFACIO,0,CRUZAMENTO COM A RUA CONDE DE IRAJÁ // E/F A DOBRADINHA DO GORDO,TORRE,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-04,19:18:00,SEM VÍTIMA,FINALIZADA,MADALENA,RUA BENFICA,,,ENF AO CLUB INTERNACIONAL,RUA BENFICA,0,ENF AO CLUB INTERNACIONAL,MADALENA,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-03-04,19:21:00,COM VÍTIMA,FINALIZADA,BEBERIBE,AV BEBERIBE,,,PROX AO POSTO SHELL // SEMÁFORO 186 // SENTIDO SUBÚRBIO,AV BEBERIBE,0,PROX AO POSTO SHELL // SEMÁFORO 186 // SENTIDO SUBÚRBIO,BEBERIBE,ATROPELAMENTO,,,,,1,1,,,,1,,,,,,,,
2017-03-04,22:48:00,SEM VÍTIMA,FINALIZADA,ILHA JOANA BEZERRA,RUA MIRANDOPOLIS,,,E/F AO TERMINAL DE JOANA BEZERRA // PROX AO POSTO DE SAÚDE (SÃO JOSÉ DO COQUE),RUA MIRANDOPOLIS,0,E/F AO TERMINAL DE JOANA BEZERRA // PROX AO POSTO DE SAÚDE (SÃO JOSÉ DO COQUE),ILHA JOANA BEZERRA,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-03-04,23:04:00,SEM VÍTIMA,FINALIZADA,PINA,AV BOA VIAGEM,,,E/F AO BOTECO MAXIME // SEMÁFORO 104 // PROX AO POSTO BR // CRUZ COM A HERCULANO BANDEIRA,AV BOA VIAGEM,0,E/F AO BOTECO MAXIME // SEMÁFORO 104 // PROX AO POSTO BR // CRUZ COM A HERCULANO BANDEIRA,PINA,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-03-05,07:58:00,SEM VÍTIMA,FINALIZADA,ESPINHEIRO,RUA BUENOS AYRES,,,CRUZAMENTO COM AVENIDA GOVERNADOR AGAMENON MAGALHÃES,RUA BUENOS AYRES,0,CRUZAMENTO COM AVENIDA GOVERNADOR AGAMENON MAGALHÃES,ESPINHEIRO,COLISÃO,,,,,,,,,,0,,,,,,,,
2017-03-05,09:47:00,SEM VÍTIMA,FINALIZADA,CAMPO GRANDE,RUA ODORICO MENDES,100,,E/F AO RESIDENCIAL AUGUSTO LUCENA,RUA ODORICO MENDES,100,E/F AO RESIDENCIAL AUGUSTO LUCENA,CAMPO GRANDE,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-05,14:17:00,SEM VÍTIMA,FINALIZADA,AFOGADOS,LARGO DA PAZ,200,,EM FRENTE A CAIXA ECONOMICA,LARGO DA PAZ,200,EM FRENTE A CAIXA ECONOMICA,AFOGADOS,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-05,14:27:00,SEM VÍTIMA,FINALIZADA,ZUMBI,RUA CONS THEODORO,361,,EM FRENTE AO BAR DA MONICA,RUA CONS THEODORO,361,EM FRENTE AO BAR DA MONICA,ZUMBI,COLISÃO,1,1,,,,,,,,0,,,,,,,,
2017-03-05,14:30:00,SEM VÍTIMA,FINALIZADA,SANTO ANTÔNIO,C SANTA RITA,,,EM FRENTE A GRANDE RECIFE/ SENTIDO SUBURBIO,C SANTA RITA,0,EM FRENTE A GRANDE RECIFE/ SENTIDO SUBURBIO,SANTO ANTÔNIO,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-03-05,14:50:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,,CRUZ COM A BRUNO VELOSO APOS O LAÇA BURGUE,AV ENGENHEIRO DOMINGOS FERREIRA,0,CRUZ COM A BRUNO VELOSO APOS O LAÇA BURGUE,BOA VIAGEM,COLISÃO COM CICLISTA,1,,,1,,,,,,1,,,,,,,,
2017-03-05,15:24:00,SEM VÍTIMA,FINALIZADA,PINA,AV HERCULANO BANDEIRA,,,APOS A LOMBADA ELETRONICA,AV HERCULANO BANDEIRA,0,APOS A LOMBADA ELETRONICA,PINA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-05,18:30:00,SEM VÍTIMA,FINALIZADA,CAXANGÁ,AV CAXANGA,,,EM FRENTE A UPA DA CAXANGA E PROX. DO POSTO SHELL SENT. RECIFE,AV CAXANGA,0,EM FRENTE A UPA DA CAXANGA E PROX. DO POSTO SHELL SENT. RECIFE,CAXANGÁ,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-05,18:58:00,SEM VÍTIMA,FINALIZADA,PINA,RUA SAO LUIZ,,,CRUZAMENTO COM RUA HERCULANO BANDEIRA, EM FRENTE A IGREJINHA DO PINA,RUA SAO LUIZ,0,CRUZAMENTO COM RUA HERCULANO BANDEIRA, EM FRENTE A IGREJINHA DO PINA,PINA,COLISÃO,,1,,,,1,,,,0,,,,,,
2017-03-05,19:12:00,SEM VÍTIMA,FINALIZADA,CAXANGÁ,AV CAXANGA,2811,,EM FRENTE DO PERNAMBUCO DA SORTE E CHURRASCARIA MASSARELA,AV CAXANGA,2811,EM FRENTE DO PERNAMBUCO DA SORTE E CHURRASCARIA MASSARELA,CAXANGÁ,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-05,19:57:00,SEM VÍTIMA,CANCELADA,CASA AMARELA,AV NORTE,,,APOS A MATERNIDADE BARROS LIMA,AV NORTE,0,APOS A MATERNIDADE BARROS LIMA,CASA AMARELA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-03-05,20:30:00,SEM VÍTIMA,FINALIZADA,MADALENA,AV CAXANGA,4302,,EM FRENTE DO HOSPITAL SANTA TEREZINHA E CAXANGA VEICULOS SENT. CAMARAGIBE,AV CAXANGA,4302,EM FRENTE DO HOSPITAL SANTA TEREZINHA E CAXANGA VEICULOS SENT. CAMARAGIBE,MADALENA,CHOQUE,,,,,,1,,,,0,,,,,,,,
2017-03-05,20:53:00,SEM VÍTIMA,CANCELADA,AREIAS,RUA DR VILAS BOAS,169,,PROX. DO CARTORIO ELEITORAL,RUA DR VILAS BOAS,169,PROX. DO CARTORIO ELEITORAL,AREIAS,COLISÃO,2,1,,,,,,,,0,,,,,,,,
2017-03-05,21:51:00,SEM VÍTIMA,CANCELADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,,EM FRENTE A LOCALIZA, NO SEMAFORO 433,AV ENGENHEIRO DOMINGOS FERREIRA,0,EM FRENTE A LOCALIZA, NO SEMAFORO 433,BOA VIAGEM,COLISÃO,2,,,,,,,,,0,,,,,,
2017-03-05,22:55:00,COM VÍTIMA,CANCELADA,AFOGADOS,RUA VINTE E UM DE ABRIL,1056,,PROX. A COMEDORIA DA PIZZA,RUA VINTE E UM DE ABRIL,1056,PROX. A COMEDORIA DA PIZZA,AFOGADOS,COLISÃO,,2,,,,,,,,2,,,,,,,,
2017-03-05,23:37:00,SEM VÍTIMA,FINALIZADA,TAMARINEIRA,EST DO ARRAIAL,2576,,AO LADO DA SUBWAY,EST DO ARRAIAL,2576,AO LADO DA SUBWAY,TAMARINEIRA,COLISÃO,1,1,,,,,,,,0,,,,,,,,
